iter	Passed	Remaining
484	629	668
485	630	666
486	631	664
487	631	662
488	635	664
489	637	663
490	639	662
491	639	660
492	640	658
493	641	656
494	642	655
495	645	655
496	646	653
497	653	659
498	655	658
499	656	656
500	657	654
501	658	652
502	659	651
503	659	649
504	660	647
505	661	645
506	661	643
507	665	644
508	668	644
509	669	642
510	669	641
511	670	639
512	671	637
513	672	635
514	673	634
515	674	632
516	674	630
517	675	628
518	676	626
519	676	624
520	680	625
521	682	624
522	683	623
523	684	621
524	685	619
525	686	618
526	687	617
527	688	615
528	689	613
529	689	611
530	690	609
531	691	608
532	694	608
533	695	607
534	697	606
535	698	604
536	699	602
537	699	600
538	700	599
539	700	597
540	701	595
541	702	593
542	702	591
543	703	589
544	704	587
545	704	586
546	705	584
547	706	582
548	708	582
549	711	582
550	713	581
551	713	579
552	714	577
553	715	575
554	716	574
555	717	572
556	717	571
557	718	569
558	719	567
559	719	565
560	723	566
561	726	565
562	727	564
563	727	562
564	728	561
565	729	559
566	730	558
567	731	556
568	732	554
569	733	552
570	733	551
571	734	549
572	735	548
573	736	546
574	738	545
575	739	544
576	741	543
577	742	542
578	743	540
579	744	539
580	745	537
581	746	535
582	746	534
583	747	532
584	748	530
585	748	529
586	749	527
587	753	527
588	755	527
589	756	525
590	757	524
591	758	522
592	758	520
593	759	519
594	760	517
595	761	516
596	762	514
597	763	512
598	763	511
599	764	509
600	767	509
601	770	509
602	770	507
603	771	505
604	772	504
605	773	502
606	773	501
607	774	499
608	775	497
609	775	496
610	776	494
611	777	492
612	777	491
613	778	489
614	779	487
615	783	488
616	784	487
617	785	485
618	786	484
619	788	483
620	789	481
621	789	480
622	790	478
623	791	476
624	792	475
625	792	473
626	797	474
627	799	473
628	800	471
629	801	470
630	801	468
631	802	467
632	803	465
633	804	464
634	804	462
635	805	460
636	806	459
637	806	457
638	807	456
639	808	454
640	810	453
641	812	452
642	812	451
643	813	449
644	814	448
645	814	446
646	815	445
647	816	443
648	817	442
649	818	440
650	818	439
651	819	437
652	820	435
653	820	434
654	821	432
655	822	431
656	826	431
657	827	429
658	828	428
659	829	427
660	830	425
661	831	424
662	831	422
663	832	421
664	833	419
665	833	418
666	834	416
667	835	415
668	836	413
669	837	412
670	840	411
671	841	410
672	842	409
673	843	407
674	843	406
675	844	404
676	846	403
677	846	402
678	847	400
679	848	399
680	849	397
681	849	396
682	850	394
683	850	393
684	855	393
685	857	392
686	858	391
687	859	389
688	860	388
689	861	386
690	863	386
691	865	385
692	874	387
693	876	386
694	877	384
695	879	384
696	880	382
697	886	383
698	889	382
699	890	381
700	892	380
701	893	379
702	894	377
703	895	376
704	903	377
705	904	376
706	906	375
707	908	374
708	910	373
709	911	372
710	915	372
711	916	370
712	917	369
713	918	367
714	919	366
715	920	364
716	920	363
717	921	362
718	922	360
719	925	359
720	927	358
721	929	358
722	930	356
723	931	355
724	932	353
725	934	352
726	935	351
727	936	349
728	936	348
729	937	346
730	944	347
731	945	346
732	946	344
733	947	343
734	949	342
735	950	340
736	951	339
737	951	337
738	952	336
739	960	337
740	962	336
741	963	335
742	965	334
743	966	332
744	967	331
745	968	329
746	975	330
747	976	328
748	981	328
749	983	327
750	991	328
751	994	327
752	995	326
753	997	325
754	999	324
755	1010	326
756	1011	324
757	1013	323
758	1027	326
759	1028	324
760	1029	323
761	1032	322
762	1036	321
763	1040	321
764	1041	319
765	1042	318
766	1043	316
767	1044	315
768	1044	313
769	1050	313
770	1052	312
771	1053	311
772	1054	309
773	1056	308
774	1057	306
775	1058	305
776	1058	303
777	1059	302
778	1067	302
779	1068	301
780	1069	299
781	1070	298
782	1071	296
783	1072	295
784	1073	293
785	1074	292
786	1074	290
787	1084	291
788	1085	290
789	1089	289
790	1089	288
791	1090	286
792	1099	286
793	1100	285
794	1101	284
795	1102	282
796	1103	281
797	1104	279
798	1105	278
799	1106	276
800	1114	276
801	1115	275
802	1116	273
803	1117	272
804	1119	271
805	1119	269
806	1121	268
807	1122	266
808	1128	266
809	1130	265
810	1131	263
811	1133	262
812	1134	260
813	1134	259
814	1138	258
815	1142	257
816	1143	256
817	1144	254
818	1145	253
819	1146	251
820	1147	250
821	1148	248
822	1149	247
823	1153	246
824	1158	245
825	1159	244
826	1160	242
827	1161	241
828	1162	239
829	1163	238
830	1164	236
831	1165	235
832	1172	235
833	1174	233
834	1175	232
835	1175	230
836	1177	229
837	1178	227
838	1178	226
839	1179	224
840	1180	223
841	1186	222
842	1187	221
843	1188	219
844	1189	218
845	1190	216
846	1191	215
847	1192	213
848	1192	212
849	1193	210
850	1194	209
851	1195	207
852	1198	206
853	1200	205
854	1201	203
855	1202	202
856	1203	200
857	1203	199
858	1204	197
859	1205	196
860	1206	194
861	1207	193
862	1208	191
863	1208	190
864	1209	188
865	1212	187
866	1215	186
867	1216	184
868	1217	183
869	1218	182
870	1219	180
871	1220	179
872	1220	177
873	1221	176
874	1222	174
875	1223	173
876	1224	171
877	1227	170
878	1230	169
879	1231	167
880	1232	166
881	1233	164
882	1233	163
883	1234	162
884	1235	160
885	1236	159
886	1236	157
887	1237	156
888	1239	154
889	1241	153
890	1243	152
891	1244	150
892	1245	149
893	1246	147
894	1247	146
895	1248	144
896	1249	143
897	1250	141
898	1250	140
899	1251	139
900	1252	137
901	1253	136
902	1254	134
903	1257	133
904	1258	132
905	1259	130
906	1260	129
907	1261	127
908	1262	126
909	1263	124
910	1264	123
911	1265	122
912	1265	120
913	1266	119
914	1267	117
915	1270	116
916	1273	115
917	1275	113
918	1276	112
919	1277	111
920	1278	109
921	1279	108
922	1280	106
923	1281	105
924	1281	103
925	1285	102
926	1289	101
927	1290	100
928	1291	98
929	1292	97
930	1293	95
931	1294	94
932	1295	93
933	1296	91
934	1297	90
935	1301	89
936	1305	87
937	1306	86
938	1307	84
939	1308	83
940	1310	82
941	1311	80
942	1312	79
943	1318	78
944	1319	76
945	1320	75
946	1321	73
947	1323	72
948	1324	71
949	1325	69
950	1325	68
951	1329	67
952	1332	65
953	1333	64
954	1335	62
955	1336	61
956	1337	60
957	1338	58
958	1339	57
959	1339	55
960	1340	54
961	1343	53
962	1344	51
963	1347	50
964	1349	48
965	1350	47
966	1351	46
967	1353	44
968	1354	43
969	1354	41
970	1355	40
971	1359	39
972	1362	37
973	1363	36
974	1364	34
975	1366	33
976	1367	32
977	1368	30
978	1369	29
979	1369	27
980	1370	26
981	1372	25
982	1378	23
983	1380	22
984	1381	21
985	1382	19
986	1383	18
987	1383	16
988	1384	15
989	1385	13
990	1387	12
991	1389	11
992	1391	9
993	1392	8
994	1393	7
995	1394	5
996	1395	4
997	1396	2
998	1397	1
999	1397	0
